huc8_name,s_scenario,rept_month,af_monthly
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 25% Probability Of Exceedance",8,12000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 25% Probability Of Exceedance",9,6000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 10% Probability Of Exceedance",2,151000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 10% Probability Of Exceedance",3,224000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 10% Probability Of Exceedance",4,363000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 10% Probability Of Exceedance",5,535000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 10% Probability Of Exceedance",6,362000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 10% Probability Of Exceedance",7,90000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 10% Probability Of Exceedance",8,15000
Upper Tuolumne,"Forecast: Unimpaired Flow at TLG, 10% Probability Of Exceedance",9,8000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 99% Probability Of Exceedance",2,24000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 99% Probability Of Exceedance",3,48000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 99% Probability Of Exceedance",4,82000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 99% Probability Of Exceedance",5,103000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 99% Probability Of Exceedance",6,50000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 99% Probability Of Exceedance",7,10000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 99% Probability Of Exceedance",8,2000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 99% Probability Of Exceedance",9,2000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 90% Probability Of Exceedance",2,35000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 90% Probability Of Exceedance",3,64000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 90% Probability Of Exceedance",4,112000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 90% Probability Of Exceedance",5,150000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 90% Probability Of Exceedance",6,74000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 90% Probability Of Exceedance",7,14000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 90% Probability Of Exceedance",8,4000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 90% Probability Of Exceedance",9,3000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 75% Probability Of Exceedance",2,55000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 75% Probability Of Exceedance",3,78000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 75% Probability Of Exceedance",4,136000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 75% Probability Of Exceedance",5,183000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 75% Probability Of Exceedance",6,89000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 75% Probability Of Exceedance",7,17000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 75% Probability Of Exceedance",8,5000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 75% Probability Of Exceedance",9,4000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 50% Probability Of Exceedance",2,66000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 50% Probability Of Exceedance",3,94000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 50% Probability Of Exceedance",4,160000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 50% Probability Of Exceedance",5,215000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 50% Probability Of Exceedance",6,105000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 50% Probability Of Exceedance",7,20000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 50% Probability Of Exceedance",8,6000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 50% Probability Of Exceedance",9,5000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 25% Probability Of Exceedance",2,84000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 25% Probability Of Exceedance",3,122000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 25% Probability Of Exceedance",4,206000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 25% Probability Of Exceedance",5,273000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 25% Probability Of Exceedance",6,135000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 25% Probability Of Exceedance",7,26000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 25% Probability Of Exceedance",8,10000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 25% Probability Of Exceedance",9,6000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 10% Probability Of Exceedance",2,100000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 10% Probability Of Exceedance",3,146000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 10% Probability Of Exceedance",4,253000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 10% Probability Of Exceedance",5,339000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 10% Probability Of Exceedance",6,166000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 10% Probability Of Exceedance",7,32000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 10% Probability Of Exceedance",8,12000
Upper Stanislaus,"Forecast: Unimpaired Flow at GDW, 10% Probability Of Exceedance",9,8000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 99% Probability Of Exceedance",2,80000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 99% Probability Of Exceedance",3,116000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 99% Probability Of Exceedance",4,130000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 99% Probability Of Exceedance",5,93000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 99% Probability Of Exceedance",6,34000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 99% Probability Of Exceedance",7,12000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 99% Probability Of Exceedance",8,7000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 99% Probability Of Exceedance",9,6000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 90% Probability Of Exceedance",2,107000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 90% Probability Of Exceedance",3,150000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 90% Probability Of Exceedance",4,185000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 90% Probability Of Exceedance",5,144000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 90% Probability Of Exceedance",6,55000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 90% Probability Of Exceedance",7,16000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 90% Probability Of Exceedance",8,9000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 90% Probability Of Exceedance",9,8000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 75% Probability Of Exceedance",2,127000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 75% Probability Of Exceedance",3,174000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 75% Probability Of Exceedance",4,235000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 75% Probability Of Exceedance",5,220000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 75% Probability Of Exceedance",6,71000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 75% Probability Of Exceedance",7,20000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 75% Probability Of Exceedance",8,11000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 75% Probability Of Exceedance",9,10000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 50% Probability Of Exceedance",2,145000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 50% Probability Of Exceedance",3,209000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 50% Probability Of Exceedance",4,295000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 50% Probability Of Exceedance",5,285000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 50% Probability Of Exceedance",6,95000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 50% Probability Of Exceedance",7,25000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 50% Probability Of Exceedance",8,13000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 50% Probability Of Exceedance",9,12000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 25% Probability Of Exceedance",2,165000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 25% Probability Of Exceedance",3,263000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 25% Probability Of Exceedance",4,335000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 25% Probability Of Exceedance",5,325000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 25% Probability Of Exceedance",6,135000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 25% Probability Of Exceedance",7,37000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 25% Probability Of Exceedance",8,20000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 25% Probability Of Exceedance",9,19000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 10% Probability Of Exceedance",2,188000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 10% Probability Of Exceedance",3,300000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 10% Probability Of Exceedance",4,380000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 10% Probability Of Exceedance",5,380000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 10% Probability Of Exceedance",6,185000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 10% Probability Of Exceedance",7,55000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 10% Probability Of Exceedance",8,29000
Upper Yuba,"Forecast: Unimpaired Flow at YRS, 10% Probability Of Exceedance",9,27000
